text,intent
"sasta mobile dikhao","search"
"cheap shoes chahiye","search"
"kam price wali watch","search"
"mujhe black shirt search karni hai","search"
"sab se sasti jacket dikha dain","search"
"best mobile under 20000","search"
"low price items list","search"
"discounted products search karo","search"
"affordable watches for men","search"
"sastay kapray kahan hain","search"
"cheap laptops in stock","search"
"kam qeemat wala perfume","search"
"budget friendly mobile phones","search"
"economical options dikhao","search"
"price kam karo is ki","search"
"sasta wala dikhao","search"
"cheap gaming mouse","search"
"kam price main headphones","search"
"searching for low cost items","search"
"mujhe sasti deal chahiye","search"
"sasta sasta items dikhao","search"
"cheap prices for winter collection","search"
"kam dam wali chezain","search"
"looking for budget shoes","search"
"sasta wala product search karo","search"
"lowest price today","search"
"cheap mobile accessories","search"
"kam price wala cooler","search"
"sasti watches","search"
"affordable items for students","search"
"mera budget 5000 hai is main kya milega","budget_optimize"
"kam paison mein achi cheez batao","budget_optimize"
"optimize my budget for shopping","budget_optimize"
"10000 mein best products suggest karo","budget_optimize"
"budget management main help karo","budget_optimize"
"itnay paison main kya kya aa sakta hai","budget_optimize"
"smart shopping for low budget","budget_optimize"
"kam budget main ziada items","budget_optimize"
"paisa bachao shopping","budget_optimize"
"budget k mutabiq best options","budget_optimize"
"mere pas sirf 2000 hain","budget_optimize"
"limited budget shopping advice","budget_optimize"
"optimize my cart for 15000","budget_optimize"
"best deals in small budget","budget_optimize"
"kam paison main shopping kaisay karun","budget_optimize"
"budget optimization tool chahiye","budget_optimize"
"save money on this order","budget_optimize"
"budget friendly recommendations","budget_optimize"
"how to spend 3000 wisely","budget_optimize"
"optimize for lowest possible cost","budget_optimize"
"paisa kaisay bachay ga","budget_optimize"
"budget control for shopping","budget_optimize"
"spending limit main shopping","budget_optimize"
"kam kharch wala plan","budget_optimize"
"budget tracker for cart","budget_optimize"
"optimize my total amount","budget_optimize"
"best value for money items","budget_optimize"
"how to get more in less price","budget_optimize"
"suggest items for 1000 budget","budget_optimize"
"budget optimization suggestions","budget_optimize"
"iska purana price kya tha","price_history"
"price history dikhao is item ki","price_history"
"kya price kam hui hai pichlay haftay se","price_history"
"rate kab girega iska","price_history"
"historical prices of mobile","price_history"
"pehle kitne ka tha yeh","price_history"
"price graph dikhao","price_history"
"tracking price changes","price_history"
"was this cheaper before","price_history"
"check price history for laptop","price_history"
"qeemat kab barhi iski","price_history"
"past prices of this product","price_history"
"show me the price trend","price_history"
"is it the lowest price ever","price_history"
"price history chart","price_history"
"rate analysis of last month","price_history"
"qeemat main izafa kab hua","price_history"
"show me previous rates","price_history"
"price tracking record","price_history"
"is price going down soon","price_history"
"historical data of rates","price_history"
"was price lower yesterday","price_history"
"price fluctuations history","price_history"
"is item ka rate history check karo","price_history"
"pichli qeemat kya thi","price_history"
"show me price changes over time","price_history"
"check if price dropped before","price_history"
"price movement history","price_history"
"last 6 months price history","price_history"
"qeemat ka record dikhao","price_history"
"search sasti cheezain","search"
"sasta wala mall","search"
"cheap shopping options","search"
"kam price main dhoondo","search"
"search low budget products","search"
"budget optimize karo mera","budget_optimize"
"optimize my spendings","budget_optimize"
"how to optimize budget for cart","budget_optimize"
"price history check kar dain","price_history"
"show me the old price","price_history"
"sardiyon ki shopping dikhao","search"
"winter collection search karo","search"
"garam kapray dikhao","search"
"thand k liye shopping","search"
"garmiyon ka maal dikhao","search"
"summer collection search","search"
"seasonal items dikhao","search"
"sardiyon wali jackets","search"
"summer dresses search karo","search"
"thand se bachne k liye","search"
"Assalam o Alaikum","greeting"
"AOA","greeting"
"Hello","greeting"
"Hi","greeting"
"Hey","greeting"
"Kaisa ho","greeting"
"How are you","greeting"
"Kya hal hai","greeting"
"Shukriya","thanks"
"Thank you","thanks"
"Thanks","thanks"
"JazakAllah","thanks"
"Bohat shukriya","thanks"
"Kaun ho tum","identity"
"Who are you","identity"
"Tera naam kya hai","identity"
"Aapka naam kya hai","identity"
"Tum kya ho","identity"
"Assistant name","identity"
"Allah Hafiz","goodbye"
"Bye","goodbye"
"Khuda Hafiz","goodbye"
"See you","goodbye"
"Phir milenge","goodbye"
"Lumiere Assistant kaun hai","identity"
"kya hal chal hain","greeting"
"good morning","greeting"
"good evening","greeting"
"help me with something","help"
"mujhe madad chahiye","help"
"aap kya kar sakte ho","help"
"what can you do","help"
"how to use this assistant","help"
"madad karo","help"
"help please","help"
"I need help","help"
"mujhe shopping karni hai","search"
"latest products dikhao","search"
"kia chal raha hai","greeting"
"bas theek hoon","greeting"
"shukriya bohat","thanks"
"thanks a lot","thanks"
"good night","goodbye"
"kal milenge","goodbye"
"best assistant","thanks"
"aapki website achi hai","thanks"
"mujhe kuch dhoondna hai","search"
"sasta sa suit dikhao","search"
"optimize karo","budget_optimize"
"paisa bachao","budget_optimize"
"qeemat check karo","price_history"
"purani price","price_history"
"lumiere kya hai","identity"
"brand info","identity"
"kaise ho bhai","greeting"
"fine thanks","greeting"
"theek ho?","greeting"
"app kahan se ho","identity"
"you are helpful","thanks"
"great work","thanks"
